ekatte;t_v_m;name;oblast;obstina;kmetstvo;kind;category;altitude;document;tsb;abc
48698;с.;Младиново;HKV;HKV28;HKV28-06;3;7;5;1999;S;3076
48708;с.;Младово;SLV;SLV20;SLV20-28;3;6;3;1999;SE;3077
48711;с.;Мламолово;KNL;KNL04;KNL04-13;3;5;6;1999;SW;3078
48725;с.;Млекарево;SLV;SLV16;SLV16-16;3;6;3;1999;SE;3079
48742;с.;Млечево;GAB;GAB29;GAB29-00;3;8;6;1999;N;3080
48756;с.;Млечино;KRZ;KRZ02;KRZ02-16;3;7;6;1999;S;3081
48765;с.;Могила;SZR;SZR31;SZR31-28;3;6;3;1999;SE;3082
48773;с.;Могила;SHU;SHU19;SHU19-08;3;7;3;1999;NE;3083
48787;с.;Могила;JAM;JAM25;JAM25-27;3;6;3;1999;SE;3084
48790;с.;Могилец;TGV;TGV22;TGV22-52;3;7;4;1999;NE;3085
30380;с.;Могилино;RSE;RSE08;RSE08-10;3;7;5;1999;N;3086
48800;с.;Могилите;GAB;GAB35;GAB35-00;3;8;6;1999;N;3087
48814;с.;Могилица;SML;SML31;SML31-18;3;6;7;1999;S;3088
48828;с.;Могилище;DOB;DOB17;DOB17-00;3;8;3;1999;NE;3089
48831;с.;Могилово;SZR;SZR36;SZR36-00;3;8;4;1999;SE;3090
48845;с.;Могиляне;KRZ;KRZ14;KRZ14-53;3;7;5;1999;S;3091
00045;с.;Мокрен;SLV;SLV11;SLV11-01;3;5;4;1999;SE;3092
48859;с.;Мокреш;MON;MON11;MON11-08;3;5;3;1999;NW;3093
48862;с.;Мокреш;SHU;SHU23;SHU23-06;3;6;3;1999;NE;3094
48876;с.;Мокрище;PAZ;PAZ19;PAZ19-17;3;5;4;1999;S;3095
50245;гр.;Момин проход;SFO;SFO25;SFO25-05;1;5;5;1999;SW;3096
48951;с.;Момин сбор;VTR;VTR04;VTR04-00;3;7;4;1999;N;3097
48903;с.;Момина клисура;PAZ;PAZ04;PAZ04-05;3;5;5;1999;S;3098
48917;с.;Момина сълза;KRZ;KRZ21;KRZ21-07;3;8;5;1999;S;3099
29221;с.;Момина църква;BGS;BGS06;BGS06-10;3;7;4;1999;SE;3100
48920;с.;Момино;TGV;TGV35;TGV35-21;3;7;5;1999;NE;3101
48934;с.;Момино;HKV;HKV34;HKV34-19;3;8;4;1999;S;3102
48948;с.;Момино село;PDV;PDV25;PDV25-03;3;6;3;1999;S;3103
48965;с.;Моминско;PDV;PDV28;PDV28-13;3;7;3;1999;S;3104
48979;с.;Момково;HKV;HKV28;HKV28-07;3;6;3;1999;S;3105
48996;гр.;Момчилград;KRZ;KRZ21;KRZ21-00;1;3;4;1999;S;3106
49000;с.;Момчилово;VAR;VAR08;VAR08-05;3;7;4;1999;NE;3107
49014;с.;Момчиловци;SML;SML31;SML31-19;3;5;8;1999;S;3108
48489;гр.;Монтана;MON;MON29;MON29-00;1;2;3;1999;NW;3109
49028;с.;Морава;VTR;VTR28;VTR28-09;3;5;2;1999;N;3110
49031;с.;Моравица;VRC;VRC27;VRC27-18;3;6;4;1999;NW;3111
49045;с.;Моравица;TGV;TGV02;TGV02-29;3;7;5;1999;NE;3112
49059;с.;Моравка;TGV;TGV02;TGV02-17;3;7;5;1999;NE;3113
49062;с.;Моровеците;GAB;GAB05;GAB05-00;3;8;5;1999;N;3114
49093;с.;Мортагоново;RAZ;RAZ26;RAZ26-08;3;5;4;1999;N;3115
49103;с.;Морянци;KRZ;KRZ15;KRZ15-29;3;8;4;1999;S;3116
49117;с.;Московец;PDV;PDV13;PDV13-30;3;6;5;1999;S;3117
49120;с.;Мост;KRZ;KRZ16;KRZ16-20;3;5;5;1999;S;3118
49148;с.;Мостич;SHU;SHU23;SHU23-07;3;7;3;1999;NE;3119
49151;с.;Мостово;PDV;PDV01;PDV01-00;3;8;8;1999;S;3120
49165;с.;Мочуре;SML;SML27;SML27-00;3;8;8;1999;S;3121
49179;с.;Мощанец;BLG;BLG03;BLG03-00;3;8;5;1999;SW;3122
49182;с.;Мракетинци;PER;PER51;PER51-00;3;8;7;1999;SW;3123
49196;с.;Мрамор;PER;PER51;PER51-00;3;8;7;1999;SW;3124
49206;с.;Мрамор;SOF;SOF46;SOF46-44;3;5;6;1999;SW;3125
49219;с.;Мрамор;HKV;HKV32;HKV32-06;3;6;4;1999;S;3126
49223;с.;Мраморен;VRC;VRC10;VRC10-14;3;6;4;1999;NW;3127
49237;с.;Мрахори;GAB;GAB05;GAB05-23;3;8;5;1999;N;3128
49240;с.;Мраченик;PDV;PDV13;PDV13-00;3;8;6;1999;S;3129
49254;с.;Мрежичко;BGS;BGS18;BGS18-16;3;6;5;1999;SE;3130
49268;с.;Мрежичко;KRZ;KRZ08;KRZ08-28;3;8;5;1999;S;3131
49271;с.;Мръзеци;GAB;GAB35;GAB35-00;3;8;6;1999;N;3132
49285;с.;Мугла;SML;SML31;SML31-20;3;7;8;1999;S;3133
49299;с.;Музга;GAB;GAB05;GAB05-21;3;7;5;1999;N;3134
49309;с.;Мулдава;PDV;PDV01;PDV01-13;3;5;4;1999;S;3135
49326;с.;Мурга;KRZ;KRZ35;KRZ35-17;3;8;7;1999;S;3136
49334;с.;Мургаш;SFO;SFO09;SFO09-00;3;8;6;1999;SW;3137
49343;с.;Мургово;KRZ;KRZ16;KRZ16-21;3;7;4;1999;S;3138
49357;с.;Мурено;PER;PER19;PER19-00;3;8;7;1999;SW;3139
49360;с.;Мурсалево;KNL;KNL27;KNL27-06;3;6;5;1999;SW;3140
49374;с.;Муртинци;PER;PER08;PER08-00;3;8;7;1999;SW;3141
49388;с.;Мусачево;SFO;SFO17;SFO17-10;3;5;6;1999;SW;3142
49391;с.;Мусачево;SZR;SZR07;SZR07-06;3;7;2;1999;SE;3143
49401;с.;Мусево;KRZ;KRZ02;KRZ02-00;3;8;7;1999;S;3144
49415;с.;Муселиево;PVN;PVN21;PVN21-10;3;6;1;1999;NW;3145
49429;с.;Мусина;VTR;VTR22;VTR22-12;3;7;3;1999;N;3146
49432;с.;Мосомище;BLG;BLG11;BLG11-09;3;5;6;1999;SW;3147
49446;с.;Мустрак;HKV;HKV28;HKV28-08;3;7;5;1999;S;3148
49450;с.;Мухово;SFO;SFO20;SFO20-00;3;8;6;1999;SW;3149
49463;с.;Муця;GAB;GAB12;GAB12-00;3;8;5;1999;N;3150
49477;с.;Мъглен;BGS;BGS01;BGS01-07;3;5;4;1999;SE;3151
49480;с.;Мъглене;KRZ;KRZ14;KRZ14-27;3;8;6;1999;S;3152
49494;гр.;Мъглиж;SZR;SZR22;SZR22-00;1;4;5;1999;SE;3153
49504;с.;Мъглища;SML;SML16;SML16-26;3;7;7;1999;S;3154
49518;с.;Мъдрево;RAZ;RAZ16;RAZ16-08;3;5;3;1999;N;3155
49521;с.;Мъдрец;KRZ;KRZ16;KRZ16-76;3;7;4;1999;S;3156
49535;с.;Мъдрец;SZR;SZR07;SZR07-07;3;6;3;1999;SE;3157
49549;с.;Мъдрино;BGS;BGS09;BGS09-00;3;8;3;1999;SE;3158
49566;с.;Мърводол;KNL;KNL31;KNL31-00;3;8;6;1999;SW;3159
49583;с.;Мъртвината;VTR;VTR13;VTR13-00;3;8;6;1999;N;3160
49597;с.;Мърчаево;SOF;SOF46;SOF46-33;3;5;7;1999;SW;3161
49607;с.;Мърчево;MON;MON04;MON04-09;3;6;3;1999;NW;3162
49624;с.;Мътеница;PDV;PDV37;PDV37-00;3;8;3;1999;S;3163
51010;с.;Навъсен;HKV;HKV29;HKV29-04;3;7;3;1999;S;3164
51024;с.;Надарево;TGV;TGV35;TGV35-22;3;6;3;1999;NE;3165
51038;с.;Надарци;SML;SML31;SML31-00;3;8;8;1999;S;3166
51041;с.;Надежден;HKV;HKV33;HKV33-12;3;7;4;1999;S;3167
51069;с.;Найден Герово;PDV;PDV33;PDV33-05;3;7;4;1999;S;3168
51072;с.;Найденово;SZR;SZR04;SZR04-12;3;7;5;1999;SE;3169
51086;с.;Нане;KRZ;KRZ14;KRZ14-26;3;8;5;1999;S;3170
51097;с.;Нановица;KRZ;KRZ21;KRZ21-14;3;5;5;1999;S;3171
51127;с.;Нареченски бани;PDV;PDV01;PDV01-14;3;5;6;1999;S;3172
51130;с.;Насалевци;PER;PER51;PER51-00;3;8;7;1999;SW;3173
51158;с.;Наум;SHU;SHU18;SHU18-08;3;6;5;1999;NE;3174
51161;с.;Научене;SLV;SLV16;SLV16-17;3;7;5;1999;SE;3175
51175;с.;Нацовци;VTR;VTR04;VTR04-00;3;8;4;1999;N;3176
51189;с.;Начево;SFO;SFO16;SFO16-00;3;8;6;1999;SW;3177
51192;с.;Небеска;KRZ;KRZ35;KRZ35-00;3;8;6;1999;S;3178
35136;с.;Невестино;KRZ;KRZ16;KRZ16-77;3;7;5;1999;S;3179
51202;с.;Невестино;BGS;BGS09;BGS09-19;3;7;4;1999;SE;3180
51216;с.;Невестино;KNL;KNL31;KNL31-00;3;5;5;1999;SW;3181
51233;с.;Невша;VAR;VAR08;VAR08-06;3;7;3;1999;NE;3182
51250;с.;Негован;SOF;SOF46;SOF46-45;3;5;6;1999;SW;3183
51264;с.;Неговановци;VID;VID30;VID30-02;3;6;2;1999;NW;3184
51278;с.;Негованци;PER;PER36;PER36-00;3;7;6;1999;SW;3185
51281;с.;Негушево;SFO;SFO10;SFO10-09;3;6;6;1999;SW;3186
51295;с.;Недан;VTR;VTR22;VTR22-13;3;5;3;1999;N;3187
51305;с.;Неделево;PDV;PDV33;PDV33-10;3;7;4;1999;S;3188
51319;гр.;Неделино;SML;SML18;SML18-00;1;4;5;1999;S;3189
51322;с.;Неделище;SFO;SFO16;SFO16-00;3;8;6;1999;SW;3190
51336;с.;Неделкова Гращица;KNL;KNL31;KNL31-00;3;8;5;1999;SW;3191
51343;с.;Неделково;PER;PER51;PER51-00;3;8;7;1999;SW;3192
51353;с.;Недоклан;RAZ;RAZ26;RAZ26-09;3;7;4;1999;N;3193
51367;с.;Недялковци;VTR;VTR13;VTR13-00;3;8;6;1999;N;3194
51370;с.;Недялковци;GAB;GAB35;GAB35-00;3;8;6;1999;N;3195
51384;с.;Недялско;JAM;JAM22;JAM22-22;3;7;4;1999;SE;3196
51398;с.;Нейково;SLV;SLV11;SLV11-11;3;7;6;1999;SE;3197
51408;с.;Нейково;DOB;DOB17;DOB17-00;3;8;1;1999;NE;3198
51411;с.;Нейкьовец;SFO;SFO20;SFO20-00;3;8;6;1999;SW;3199
51439;с.;Нейчовци;GAB;GAB12;GAB12-02;3;8;5;1999;N;3200
51442;с.;Ненково;KRZ;KRZ16;KRZ16-22;3;7;6;1999;S;3201
51456;с.;Неново;VAR;VAR24;VAR24-00;3;8;4;1999;NE;3202
51469;с.;Неновци;GAB;GAB35;GAB35-00;3;8;6;1999;N;3203
51473;с.;Неофит Бозвелиево;KRZ;KRZ21;KRZ21-15;3;7;5;1999;S;3204
51487;с.;Неофит Рилски;VAR;VAR08;VAR08-07;3;6;3;1999;NE;3205
51490;с.;Непразненци;PER;PER08;PER08-00;3;8;7;1999;SW;3206
51500;гр.;Несебър;BGS;BGS15;BGS15-00;1;2;1;1999;SE;3207
51514;с.;Несла;SFO;SFO16;SFO16-00;3;8;6;1999;SW;3208
51528;с.;Нефела;VRC;VRC10;VRC10-15;3;6;4;1999;NW;3209
51531;с.;Нешевци;VTR;VTR13;VTR13-00;3;8;6;1999;N;3210
51559;с.;Нивянин;VRC;VRC05;VRC05-03;3;7;3;1999;NW;3211
51562;с.;Никачковци;GAB;GAB35;GAB35-00;3;8;5;1999;N;3212
51651;с.;Никола Козлево;SHU;SHU21;SHU21-00;3;5;4;1999;NE;3213
51584;с.;Николаевка;VAR;VAR26;VAR26-05;3;6;5;1999;NE;3214
51593;с.;Николаево;VTR;VTR31;VTR31-00;3;8;4;1999;N;3215
51603;с.;Николаево;GAB;GAB35;GAB35-00;3;8;6;1999;N;3216
51617;с.;Николаево;PER;PER36;PER36-00;3;8;6;1999;SW;3217
51620;с.;Николаево;PVN;PVN24;PVN24-15;3;6;2;1999;NW;3218
51634;с.;Николаево;SLV;SLV20;SLV20-29;3;7;4;1999;SE;3219
51648;гр.;Николаево;SZR;SZR38;SZR38-00;1;4;4;1999;SE;3220
52400;с.;Николичевци;KNL;KNL29;KNL29-30;3;6;6;1999;SW;3221
51665;с.;Николово;MON;MON29;MON29-16;3;7;3;1999;NW;3222
51679;с.;Николово;RSE;RSE27;RSE27-04;3;5;2;1999;N;3223
51682;с.;Николово;HKV;HKV34;HKV34-25;3;7;5;1999;S;3224
51696;с.;Николовци;VTR;VTR13;VTR13-00;3;8;6;1999;N;3225
51706;с.;Николчовци;VTR;VTR13;VTR13-00;3;8;6;1999;N;3226
51715;с.;Николчовци;GAB;GAB05;GAB05-05;3;8;5;1999;N;3227
51723;гр.;Никопол;PVN;PVN21;PVN21-00;1;4;2;1999;NW;3228
51737;с.;Никудин;BLG;BLG49;BLG49-00;3;8;6;1999;SW;3229
51740;с.;Никюп;VTR;VTR04;VTR04-22;3;6;3;1999;N;3230
51768;с.;Нисово;RSE;RSE13;RSE13-00;3;7;3;1999;N;3231
51771;с.;Ничовци;VTR;VTR13;VTR13-00;3;8;5;1999;N;3232
51785;с.;Нова бяла река;SHU;SHU10;SHU10-11;3;6;4;1999;NE;3233
